Current Budget - Year to Date

1/1/2018 through 11/17/2018 Using Budget

	Category	 Actual	January 2018 Budget	 Difference		 Actual	February 2018 Budget	 Difference		 Actual	March 2018 Budget	 Difference		 Actual	April 2018 Budget	 Difference		 Actual	May 2018 Budget	 Difference		 Actual	June 2018 Budget	 Difference		 Actual	July 2018 Budget	 Difference		 Actual	August 2018 Budget	 Difference		 Actual	September 2018 Budget	 Difference		 Actual	October 2018 Budget	 Difference		 Actual	November 2018 Budget	 Difference		1/1/2018 Actual	- Budget	11/17/2018 Difference

	INCOME	0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		25.00	0.00	25.00		0.00	0.00	0.00		25.00	0.00	25.00
	Wages	0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		25.00	0.00	25.00		0.00	0.00	0.00		25.00	0.00	25.00
	Wages:FG 0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00
	Wages:GFards	0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		0.00	0.00	0.00		25.00	0.00	25.00		0.00	0.00	0.00		25.00	0.00	25.00

	EXPENSES	6,026.53	4,151.11	-1,875.42		3,144.85	4,995.55	1,850.70		2,338.06	3,932.35	1,594.29		4,134.82	4,319.60	184.78		5,194.40	4,160.62	-1,033.78		4,066.94	4,509.13	442.19		8,158.69	9,668.41	1,509.72		5,761.40	4,383.02	-1,378.38		746.63	4,506.58	3,759.95		5,309.39	3,838.38	-1,471.01		-1,675.27	5,367.58	7,042.85		43,206.44	53,832.33	10,625.89
	Auto & Transport	255.90	477.12	222.23		236.41	572.77	336.36		341.08	358.77	17.69		201.14	441.55	240.41		246.85	438.77	191.92		296.31	458.77	162.46		257.00	408.77	151.77		2,756.75	559.32	-2,197.43		296.14	558.77	262.63		484.72	358.77	-125.95		69.00	203.30	134.30		5,440.30	4,836.68	-603.62
	Auto & Transport:Car Insurance	105.00	104.00	0.00		104.00	104.00	0.00		104.00	104.00	0.00		104.00	104.00	0.00		104.00	104.00	0.00		104.00	104.00	0.00		0.00	104.00	104.00		208.00	104.00	-104.00		104.00	104.00	0.00		104.00	104.00	0.00		0.00	58.93	58.93		1,040.00	1,098.93	58.93
	Auto & Transport:Car Registration	0.00	15.00	15.00		0.00	15.00	15.00		0.00	15.00	15.00		0.00	15.00	15.00		0.00	15.00	15.00		0.00	15.00	15.00		0.00	15.00	15.00		0.00	15.00	15.00		0.00	15.00	15.00		300.03	15.00	-285.03		0.00	8.50	8.50		300.03	158.50	-141.53
